119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ DIXMAANI      3000      0  first_order       1.0             7.02847         11          0.0      1.9515e-6           11          11         5046           0
   2 │ LIARWHD       5000      0  first_order       3.10399e-13     0.100721        14          0.0      1.11605e-6          14          14           36           0
   3 │ SCHMVETT      5000      0  first_order  -14994.0             0.355338         5          0.0      2.90267e-7           5           5           55           0
   4 │ VAREIGVL      5000      0  first_order       5.61398e-8      1.94077         14          0.0      4.2931e-5           14          14          784           0
   5 │ CYCLOOCFLS   29996      0  max_time       8482.56         1200.08         12912          0.0     31.8054           12912       12912        40781           0
   6 │ DIXMAANJ      3000      0  first_order       1.0             2.01574         32          0.0      1.05302e-5          32          32         1940           0
   7 │ SPIN2LS        102      0  first_order       1.18554e-19     0.290865         9          0.0      5.27481e-8           9           9          146           0
   8 │ SBRYBND       5000      0  max_time      19700.0          1204.54            65          0.0  10556.1                 65          64       489779           0
   9 │ ARGLINC        200      0  first_order     101.125           0.00219798       2          0.0     12.1156               2           2            2           0
  10 │ DIXMAANC      3000      0  first_order       1.0             0.0539041        9          0.0      1.47448e-14          9           9           25           0
  11 │ EIGENALS      2550      0  first_order       2.12247e-12    59.0602          79          0.0      2.6622e-7           79          63         3221           0
  12 │ YATP1LS     123200      0  first_order       1.3378e-6       6.62643          9          0.0      0.0770952            9           8           21           0
  13 │ GENHUMPS      5000      0  max_time          6.85693e5    1200.01         59916          0.0    394.687            59916       59893       254596           0
  14 │ OSCIPATH       500      0  first_order       0.999967        0.00547409       4          0.0      4.63206e-9           4           4           17           0
  15 │ FLETCBV2      5000      0  first_order      -0.500286       40.3525          12          0.0      1.49024e-8          12          12        22145           0
  16 │ DIXMAAND      3000      0  first_order       1.0             0.055295         9          0.0      5.84377e-8           9           9           26           0
  17 │ PENALTY1      1000      0  first_order       5.98533e5       0.0238571       17          0.0  86088.8                 17          17           32           0
  18 │ SPMSRTLS      4999      0  first_order       2.25329e-15     1.23891         23          0.0      3.66012e-8          23          22          537           0
  19 │ NONCVXUN      5000      0  first_order   11618.0           199.762         6944          0.0      0.00725209        6944        6905        43042           0
  20 │ BRYBND        5000      0  first_order       1.12644e-10     0.20937          9          0.0      6.4601e-5            9           9           77           0
  21 │ DIXMAANM      3000      0  first_order       1.0             7.92111         10          0.0      6.80512e-7          10          10         8315           0
  22 │ DQRTIC        5000      0  first_order       3.38479e6       0.149251        17          0.0  47188.8                 17          17          117           0
  23 │ BOX          10000      0  first_order   -1864.54            0.0903931        6          0.0      3.00491e-8           6           6           15           0
  24 │ TOINTGSS      5000      0  first_order      10.002           0.115154         8          0.0      1.33216e-8           8           8           26           0
  25 │ INTEQNELS      502      0  first_order       1.31006e-17     0.11719          4          0.0      7.44591e-9           4           4           11           0
  26 │ BA-L49LS     23769      0  max_time          7.23503e6    1228.32            80          0.0      9.1127e5            80          77         3082           0
  27 │ NONCVXU2      5000      0  first_order   11586.8           178.074         7250          0.0      0.0243211         7250        7221        36404           0
  28 │ BROYDN7D      5000      0  first_order    1747.86           61.3388        3753          0.0      1.4333e-8         3753        3698        16216           0
  29 │ DIXMAANO      3000      0  first_order       1.0             4.0727          40          0.0      1.76657e-5          40          40         3982           0
  30 │ SPINLS        1327      0  first_order       1.27529e-5      0.420421        25          0.0      0.000144688         25          24          139           0
  31 │ BROYDN3DLS    5000      0  first_order       9.31933e-19     0.08407          7          0.0      1.08535e-8           7           7           43           0
  32 │ CURLY20      10000      0  max_time         -1.00316e6    1227.0             48          0.0      0.000286384         48          43       373498           0
  33 │ NONMSQRT      4900      0  max_time        717.649        1203.88           193          0.0     46.3075             193         143        38862           0
  34 │ CURLY30      10000      0  max_time         -1.00316e6    1202.56            47          0.0      0.00188504          47          44       289502           0
  35 │ FREUROTH      5000      0  first_order       6.08159e5       0.123775        12          0.0      1.27891e-5          12          10           44           0
  36 │ FMINSRF2      5625      0  first_order       1.0            18.2692         132          0.0      1.75131e-8         132         120         4599           0
  37 │ YATP2CLS    123200      0  first_order       4.02148e-20    16.1957          32          0.0      1.62435e-9          32          29           79           0
  38 │ SCURLY20     10000      0  first_order       7.06528e21      1.48162         17          0.0      5.83956e22          17          17          313           0
  39 │ NONDQUAR      5000      0  first_order       2.53802e-5      1.14801         41          0.0      6.45698e-5          41          31         1304           0
  40 │ SCURLY30     10000      0  first_order       3.43857e22      1.43985         17          0.0      2.67155e23          17          17          257           0
  41 │ LUKSAN21LS     100      0  first_order       1.31421e-16     0.558688      1184          0.0      9.1277e-9         1184        1181         7452           0
  42 │ MANCINO        100      0  first_order       2.97319e-9      0.452467        18          0.0      0.153536            18          18           61           0
  43 │ LUKSAN22LS     100      0  first_order     868.94            0.114642        29          0.0      3.6579e-5           29          21          594           0
  44 │ WOODS         4000      0  first_order       1.96942e-15     0.332336        66          0.0      6.67646e-7          66          49          242           0
  45 │ JIMACK        3549      0  max_time          0.866803     1519.64            15          0.0      0.000607094         15          15         6694           0
  46 │ VARDIM         200      0  first_order       1.75146e5       0.007339        17          0.0      5.60997e7           17          17           32           0
  47 │ BROYDNBDLS    5000      0  first_order       1.12644e-10     0.220523         9          0.0      6.4601e-5            9           9           77           0
  48 │ FLETBV3M      5000      0  first_order      -2.21054e5       3.33611        157          0.0      6.35657e-11        157         157          987           0
  49 │ DIXMAANA      3000      0  first_order       1.0             0.0494568        8          0.0      1.44549e-8           8           8           23           0
  50 │ POWER        10000      0  first_order   17001.8             0.511572        17          0.0      4.2896e5            17          17          220           0
