119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time  iter   primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64       Int64  Float64      Float64          Int64      Int64       Int64        Int64
─────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ DIXMAANI      3000      0  first_order       1.0                 0.797     18          0.0      2.21052e-12         25          20            0          18
   2 │ LIARWHD       5000      0  first_order       6.38078e-22         0.504     12          0.0      4.06219e-9          13          14            0          12
   3 │ SCHMVETT      5000      0  first_order  -14994.0                 0.141      3          0.0      1.8728e-13           4           5            0           3
   4 │ VAREIGVL      5000      0  first_order       1.69122e-12        94.861     19          0.0      1.5602e-8           32          21            0          19
   5 │ CYCLOOCFLS   29996      0  first_order       1.3519e-19         43.577    198          0.0      4.50465e-11        234         200            0         198
   6 │ DIXMAANJ      3000      0  first_order       1.0                 0.497     20          0.0      2.99928e-9          21          22            0          20
   7 │ SPIN2LS        102      0  first_order       2.65594e-21         0.249      9          0.0      1.14763e-9          10          11            0           9
   8 │ SBRYBND       5000      0  first_order       1.17355e-20         0.404     13          0.0      3.9398e-5           19          15            0          13
   9 │ ARGLINC        200      0  first_order     101.125               0.842      2          0.0      0.00126183           3           4            0           2
  10 │ DIXMAANC      3000      0  first_order       1.0                 0.224      9          0.0      6.61744e-24         10          11            0           9
  11 │ EIGENALS      2550      0  first_order       2.52435e-28       199.974     94          0.0      2.84217e-12        151          96            0          94
  12 │ YATP1LS     123200      0  unknown           2.54037e9          31.643      0          0.0      6.08876e5            1           2            0           1
  13 │ GENHUMPS      5000      0  max_iter          8.01109e7         172.503   3000          0.0    117.135             3001        3002            0        3000
  14 │ OSCIPATH       500      0  first_order       0.999967            0.019      2          0.0      1.28275e-12          3           4            0           2
  15 │ FLETCBV2      5000      0  first_order      -0.500286            0.047      1          0.0      3.38016e-10          2           3            0           1
  16 │ DIXMAAND      3000      0  first_order       1.0                 0.232      9          0.0      4.03969e-10         10          11            0           9
  17 │ PENALTY1      1000      0  first_order       6.4395              2.775     23          0.0      0.926571            24          25            0          23
  18 │ SPMSRTLS      4999      0  first_order       1.85558e-15         0.95      22          0.0      1.82534e-10         41          24            0          22
  19 │ NONCVXUN      5000      0  first_order   11600.6               118.95    2478          0.0      3.20243e-6        3017        2480            0        2478
  20 │ BRYBND        5000      0  first_order       4.27554e-21         0.345     11          0.0      1.29847e-8          17          13            0          11
  21 │ DIXMAANM      3000      0  first_order       1.0                 0.272     11          0.0      6.28725e-11         12          13            0          11
  22 │ DQRTIC        5000      0  first_order      39.3573              0.502     23          0.0      0.353377            24          25            0          23
  23 │ BOX          10000      0  first_order   -1864.54                0.591      4          0.0      3.47764e-9          16           6            0           4
  24 │ TOINTGSS      5000      0  first_order      10.0                 0.055      1          0.0      3.57048e-15          2           3            0           1
  25 │ INTEQNELS      502      0  first_order       1.48654e-20        10.504      3          0.0      2.49195e-11          4           5            0           3
  26 │ BA-L49LS     23769      0  max_time          0.0               680.985    369          0.0      6.17455e7          442         371            0         369
  27 │ NONCVXU2      5000      0  max_time          0.0               265.705    309          0.0     20.3528             315         311            0         309
  28 │ BROYDN7D      5000      0  first_order    1514.88                5.811    122          0.0      8.32667e-15        153         124            0         122
  29 │ DIXMAANO      3000      0  first_order       1.0                 0.602     25          0.0      7.12851e-11         26          27            0          25
  30 │ SPINLS        1327      0  first_order       4.91714e-7          8.077     38          0.0      4.96846e-7          80          40            0          38
  31 │ BROYDN3DLS    5000      0  first_order       1.66154e-29         0.212      6          0.0      1.81946e-14          7           8            0           6
  32 │ CURLY20      10000      0  first_order      -1.00316e6           6.817     26          0.0      1.34255e-11         27          28            0          26
  33 │ NONMSQRT      4900      0  max_time          0.0              1201.96    2223          0.0    481.234            48117        2225            0        2223
  34 │ CURLY30      10000      0  first_order      -1.00316e6          13.257     30          0.0      4.47632e-12         31          32            0          30
  35 │ FREUROTH      5000      0  first_order       6.08159e5           0.354      8          0.0      3.23297e-13         14          10            0           8
  36 │ FMINSRF2      5625      0  unknown           9.01725e23          1.467     26          0.0      0.124306           405          28            0          26
  37 │ YATP2CLS    123200      0  unknown           7.67267e9          71.361      0          0.0   2147.79                 1           2            0           1
  38 │ SCURLY20     10000      0  first_order      -1.00316e6          24.484     86          0.0      0.000873742         94          88            0          86
  39 │ NONDQUAR      5000      0  first_order       2.06948e-10         0.613     19          0.0      1.83508e-6          20          21            0          19
  40 │ SCURLY30     10000      0  first_order      -1.00316e6          33.436     72          0.0      0.015318            86          74            0          72
  41 │ LUKSAN21LS     100      0  first_order       2.61039e-17         0.037     11          0.0      6.10705e-10         31          13            0          11
  42 │ MANCINO        100      0  first_order       1.32164e-21         0.487     18          0.0      4.05999e-8          19          20            0          18
  43 │ LUKSAN22LS     100      0  first_order     868.94                0.04      16          0.0      1.27038e-8          23          18            0          16
  44 │ WOODS         4000      0  first_order       4.83717e-24         0.821     40          0.0      1.71818e-12         85          42            0          40
  45 │ JIMACK        3549      0  first_order       0.866793           13.456     18          0.0      4.12751e-9          19          20            0          18
  46 │ VARDIM         200      0  first_order       1.74342e-6          0.125     27          0.0      0.528156            28          29            0          27
  47 │ BROYDNBDLS    5000      0  first_order       4.27554e-21         0.345     11          0.0      1.29847e-8          17          13            0          11
  48 │ FLETBV3M      5000      0  first_order      -2.2494e5           13.166    235          0.0      2.56462e-14        241         237            0         235
  49 │ DIXMAANA      3000      0  first_order       1.0                 0.184      7          0.0      5.1669e-20           8           9            0           7
  50 │ POWER        10000      0  max_time          0.0               354.944     15          0.0  23821.4                 16          17            0          15
  51 │ PENALTY2       200      0  first_order       4.71163e13          0.046     10          0.0      1.0129e-8           11          12            0          10
  52 │ BA-L73LS     33753      0  max_time          0.0               705.378    254          0.0      6.26546e8          397         256            0         254
