119×13 DataFrame
 Row │ name        nvar    ncon   status       objective         elapsed_time   iter    primal_feas  dual_feas        neval_obj  neval_grad  neval_hprod  neval_hess
     │ String      Int64   Int64  Symbol       Float64           Float64        Int64   Float64      Float64          Int64      Int64       Int64        Int64
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ DIXMAANI      3000      0  first_order       1.0             7.24674         19          0.0      5.0905e-7           47          19         9033           0
   2 │ LIARWHD       5000      0  first_order       1.55624e-13     0.0617049       13          0.0      7.90245e-7          14          14           33           0
   3 │ SCHMVETT      5000      0  first_order  -14994.0             0.382621         7          0.0      4.52821e-7           8           8           63           0
   4 │ VAREIGVL      5000      0  first_order       5.49445e-8      0.460116        13          0.0      4.23541e-5          14          14          216           0
   5 │ CYCLOOCFLS   29996      0  max_time         14.1563       1777.01          1711          0.0      4.43913           9737        1711        86405           0
   6 │ DIXMAANJ      3000      0  first_order       1.0             2.19734         32          0.0      7.0283e-6          125          30         2655           0
   7 │ SPIN2LS        102      0  first_order       1.21465e-20     1.45577         30          0.0      7.34905e-8          81          29          764           0
   8 │ SBRYBND       5000      0  max_time      39364.8          1200.01         19653          0.0      1.26566e6        85046       19410       585937           0
   9 │ ARGLINC        200      0  first_order     101.125           0.00343609       1          0.0      0.17552              2           2            2           0
  10 │ DIXMAANC      3000      0  first_order       1.0             0.034292         9          0.0      3.14028e-7          10          10           19           0
  11 │ EIGENALS      2550      0  first_order       4.77975e-13    50.9001          62          0.0      7.50272e-7         175          61         2799           0
  12 │ YATP1LS     123200      0  first_order       1.07181e-7      9.70643         13          0.0      0.108937            23          14           31           0
  13 │ GENHUMPS      5000      0  first_order       5.6843e-9     112.795         6983          0.0      4.77355e-5       16538        6977        26146           0
  14 │ OSCIPATH       500      0  first_order       0.999967        0.0031209        5          0.0      9.15087e-8           6           6           17           0
  15 │ FLETCBV2      5000      0  first_order      -0.500286       11.558            7          0.0      7.17362e-8           8           8         7458           0
  16 │ DIXMAAND      3000      0  first_order       1.0             0.0357301        9          0.0      1.24438e-6          10          10           21           0
  17 │ PENALTY1      1000      0  first_order       1.86073e6       0.017823        23          0.0      2.0154e5            24          24           46           0
  18 │ SPMSRTLS      4999      0  first_order       3.31165e-15     3.95209         58          0.0      9.69636e-8         240          58         2103           0
  19 │ NONCVXUN      5000      0  first_order   11604.3           186.678         1854          0.0      0.0293893         8206        1846        49431           0
  20 │ BRYBND        5000      0  first_order       2.55661e-10     0.139521         8          0.0      7.41191e-5           9           9           64           0
  21 │ DIXMAANM      3000      0  first_order       1.0             4.98327          9          0.0      2.80933e-7          10          10         6389           0
  22 │ DQRTIC        5000      0  first_order       8.58308e6       0.087359        29          0.0  83974.4                 30          30          109           0
  23 │ BOX          10000      0  first_order   -1864.54            0.129304        12          0.0      9.3853e-8           13          13           32           0
  24 │ TOINTGSS      5000      0  first_order      10.002           0.067251         7          0.0      9.05091e-7           8           8           19           0
  25 │ INTEQNELS      502      0  first_order       5.93497e-16     0.132783         4          0.0      4.97044e-8           5           5           12           0
  26 │ BA-L49LS     23769      0  max_time          6.51049e7    1200.27           420          0.0      4.60238e11        2192         502         1723           0
  27 │ NONCVXU2      5000      0  first_order   11585.0            77.2808        1924          0.0      5.80581e-5        7510        1916        19291           0
  28 │ BROYDN7D      5000      0  first_order    1903.39            8.53976        283          0.0      6.87239e-8        1372         283         2793           0
  29 │ DIXMAANO      3000      0  first_order       1.0             3.17788         25          0.0      1.67461e-5          75          24         3926           0
  30 │ SPINLS        1327      0  first_order       1.99405e-5      0.20372         19          0.0      0.000201761         32          19           62           0
  31 │ BROYDN3DLS    5000      0  first_order       2.19383e-16     0.0566881        7          0.0      1.44989e-7           8           8           39           0
  32 │ CURLY20      10000      0  first_order      -1.00316e6     246.339           19          0.0      2.5791e-7           34          19       107380           0
  33 │ NONMSQRT      4900      0  max_time        711.188        1270.52            75          0.0    124.553              156          74        41921           0
  34 │ CURLY30      10000      0  first_order      -1.00316e6     310.343           18          0.0      2.77585e-6          40          18        98923           0
  35 │ FREUROTH      5000      0  first_order       6.08159e5       0.117226        12          0.0      5.8739e-5           28          12           47           0
  36 │ FMINSRF2      5625      0  first_order       1.0            25.804         1295          0.0      8.53946e-8        5095        1295         6676           0
  37 │ YATP2CLS    123200      0  first_order       8.65566e-9     11.2953          27          0.0      0.00505096          33          28           63           0
  38 │ SCURLY20     10000      0  first_order       1.69694e22      0.497236        16          0.0      6.31213e22          17          17          201           0
  39 │ NONDQUAR      5000      0  first_order       1.73321e-6      8.6131          61          0.0      0.000193977        319          61        14654           0
  40 │ SCURLY30     10000      0  first_order       8.05893e22      0.623366        16          0.0      2.87676e23          17          17          180           0
  41 │ LUKSAN21LS     100      0  first_order       7.92827e-15     0.0354371       23          0.0      9.92782e-8          24          24         1039           0
  42 │ MANCINO        100      0  first_order       2.03545e-9      0.209506         9          0.0      0.125829            10          10           22           0
  43 │ LUKSAN22LS     100      0  first_order     868.94            0.0634789       20          0.0      4.54468e-5          49          19          396           0
  44 │ WOODS         4000      0  first_order       4.13123e-14     0.173552        41          0.0      1.79986e-6          76          41          184           0
  45 │ JIMACK        3549      0  max_time          0.866793     1844.57            10          0.0      0.000845618         11          11         8165           0
  46 │ VARDIM         200      0  first_order       1.75146e5       0.00188208      16          0.0      5.60997e7           17          17           32           0
  47 │ BROYDNBDLS    5000      0  first_order       2.55661e-10     0.138792         8          0.0      7.41191e-5           9           9           64           0
  48 │ FLETBV3M      5000      0  first_order      -2.49735e5       0.960397        81          0.0      1.55477e-9         331          80          216           0
  49 │ DIXMAANA      3000      0  first_order       1.0             0.031569         7          0.0      4.41669e-8           8           8           18           0
  50 │ POWER        10000      0  first_order   41967.0             0.141584        16          0.0      5.3542e5            17          17          164           0
